City,Country,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Quito,Ecuador,Americas,"","",229,277,"",239,223,290,230,"","",144,"","",""
Cairo,Egypt,Africa,"","","",75,98,143,137,92,271,372,"","","","",""
San Salvador,El Salvador,Americas,"","",439,364,320,420,301,245,277,157,216,338,514,"",""
Santa Ana,El Salvador,Americas,"","","","","","","","","","",79,90,173,"",""
Soyapango,El Salvador,Americas,"","","","","","","","","","",73,107,226,"",""
Tallinn,Estonia,Europe,"","",40,21,35,"",29,22,"",20,20,16,11,"",""
Manzini,Eswatini,Africa,"","","","","","","","","","","","","","",14
Mbabane,Eswatini,Africa,"","","","","","","","","","","","","","",12
Nhlangano,Eswatini,Africa,"","","","","","","","","","","","","","",9
Espoo,Finland,Europe,"","","","","","",8,2,2,2,5,1,2,0,""
Helsinki,Finland,Europe,"",22,13,14,10,16,7,12,14,12,6,10,12,9,""
Tampere,Finland,Europe,"","","","","","",1,4,9,3,0,2,3,5,""
Lyon,France,Europe,"","","","","","","","","","","","",8,5,9
Marseille,France,Europe,"","","","","","","","","","","","",39,30,38
Paris,France,Europe,55,21,34,29,38,47,36,44,42,46,42,43,187,42,28
Tbilisi,Georgia,Asia,"",84,141,86,90,56,57,39,"","","","","",18,""
Berlin,Germany,Europe,"","",60,50,42,42,67,41,43,52,55,51,42,48,""
Hamburg,Germany,Europe,"","","","","","","","","",12,14,23,17,13,""
Munich,Germany,Europe,"","","","","","","","","",8,7,5,11,15,""
Accra,Ghana,Africa,"","","","","",46,48,"","","","","","","",""
Athens,Greece,Europe,29,41,49,43,68,69,70,82,86,66,54,40,28,"",""
St. Andrew's,Grenada,Americas,"","","","","","","","","","","",4,2,1,""
St. George's,Grenada,Americas,"","",5,7,5,6,2,4,2,7,3,2,1,6,""
St. Patrick's,Grenada,Americas,"","","","","","","","","","","","","",0,""
Escuintla,Guatemala,Americas,"","","","","","",297,251,286,246,258,254,"","",""
Guatemala City,Guatemala,Americas,"",1018,1098,1161,1239,1172,1272,1253,1035,797,682,738,609,704,""
Peten,Guatemala,Americas,"","","","","","",325,260,195,165,166,184,"","",""
Georgetown,Guyana,Americas,"","","","","","","","","","","","",48,"",""
Port au Prince,Haiti,Americas,"","","","",294,162,297,495,"","","","","","",""
Vatican City State,Holy See,Europe,"","","","","","",0,0,0,0,0,"",0,"",""
La Ceiba,Honduras,Americas,"","","","","","","","","","",288,213,214,251,""
San Pedro Sula,Honduras,Americas,"","","","","","","","","","",1407,1164,820,807,""
Tegucigalpa,Honduras,Americas,"","","","","",674,805,1046,1250,1290,944,979,873,995,""
Budapest,Hungary,Europe,39,32,31,30,17,33,26,32,33,25,29,33,37,39,""
Debrecen,Hungary,Europe,"","","","","","",1,2,3,3,2,4,2,6,""
Szeged,Hungary,Europe,"","","","","","",2,0,0,0,1,1,2,2,""
Hafnarfjordur,Iceland,Europe,"","","","","","","",0,0,1,0,0,0,0,""
Kopavogur,Iceland,Europe,"","","","","","","",0,0,0,0,0,0,0,""
Reykjavik,Iceland,Europe,"","",2,0,2,0,1,1,3,0,0,"",2,0,""
Mumbai,India,Asia,"",253,212,239,230,210,217,228,203,215,170,"","","",""
Jakarta,Indonesia,Asia,"","","","","",67,75,86,74,72,80,72,"","",""
Al-Basrah,Iraq (Central Iraq),Asia,"","","","","","",350,245,229,223,496,294,"","",""
Al-Mawsil,Iraq (Central Iraq),Asia,"","","","","","",304,223,217,198,232,249,"","",""
Baghdad,Iraq (Central Iraq),Asia,"","","","","",1210,684,827,853,788,1287,1398,"","",""
Dublin,Ireland,Europe,"","",29,33,31,26,29,30,"","","","","","",""
Tel Aviv,Israel,Asia,"",19,24,15,17,18,"","","","","","","","",""
Rome,Italy,Europe,"","",34,26,29,28,29,9,27,24,28,35,19,"",""
Kingston,Jamaica,Americas,"","","",565,727,641,632,441,328,357,371,289,288,323,""
Portmore,Jamaica,Americas,"","","","","","","","","","","","","",88,""
Tokyo,Japan,Asia,"","",47,55,55,83,54,39,32,36,"","","","",""
Amman,Jordan,Asia,"","",23,40,37,40,39,30,58,71,"","","","",""
Almaty,Kazakhstan,Asia,"","",173,165,130,170,134,125,144,114,106,88,88,"",""
Kisumu,Kenya,Africa,"","","","","","","","","","","",38,13,26,""
Mombasa,Kenya,Africa,"","","","","","","","","","","",40,8,37,""
Nairobi,Kenya,Africa,"",201,196,177,121,117,133,140,191,209,77,164,120,120,""
Prishtina,Kosovo under UNSCR 1244,Europe,"","","","","",7,8,6,6,1,3,6,2,"",""
Kuwait City,Kuwait,Asia,"","",8,9,12,11,11,"","","","","","","",""
Bishkek,Kyrgyzstan,Asia,80,84,130,104,93,89,80,88,81,71,44,54,60,"",""
Daugavpils,Latvia,Europe,"","","","","","","","","","","",5,0,"",""
Liepaja,Latvia,Europe,"","","","","","","","","","","",4,2,"",""
Riga,Latvia,Europe,81,72,35,46,29,30,37,23,18,26,26,30,31,"",""
MASERU,Lesotho,Africa,"","","","",146,136,141,"","","","","","","",""
Monrovia,Liberia,Africa,"","","","",46,68,58,50,"","","","","","",""
Schaan,Liechtenstein,Europe,"","",0,0,0,0,0,0,0,0,0,1,0,"",""
Kaunas,Lithuania,Europe,"","","","","","","","","","",22,12,29,16,""
