City,Country,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Limon,Costa Rica,Americas,"","","","","","","","","","11,3","5,4","10,7","","",""
San Jose,Costa Rica,Americas,"","","","13,6","19,4","28,3","24,3","20,3","17,4","15,8","11,8","20,1","","",""
Rijeka,Croatia,Europe,"","","","","","","","","","","","0,8",0,"0,8",""
Split,Croatia,Europe,"","","","","","","","","","","",0,"1,2","1,7",""
Zagreb,Croatia,Europe,"1,9","0,9",2,"1,4","0,7","1,9","0,6","1,3","1,4","1,3","0,8","0,6","0,4","1,2",""
Nicosia,Cyprus,Asia,"","1,4",1,"2,6",1,1,"0,9","1,2","0,6","1,5","1,2","0,9","1,2","0,6",""
Brno,Czechia,Europe,"","","","","","","","","","","1,8","1,3","1,6","1,3",""
Ostrava,Czechia,Europe,"","","","","","","","","","","0,3",1,"0,7","0,3",""
Prague,Czechia,Europe,"","","1,2","1,7","2,4","1,5","1,9","1,3","0,8","1,3","1,2",2,"1,7","0,7",""
Aalborg,Denmark,Europe,"","","","","","","",1,0,"0,5","0,5",1,"3,4","1,4",""
Aarhus,Denmark,Europe,"","","","","","","",0,"0,3",0,"2,2","1,9","1,8","0,9",""
Copenhagen,Denmark,Europe,"","","2,6","1,8","1,4","1,6","2,6","0,8",3,"2,5","0,2",1,"1,7","0,8",""
Distrito Nacional,Dominican Republic,Americas,"","","","","","","","","","","","18,1","","",""
Santiago,Dominican Republic,Americas,"","","","","","","","","","","","20,4","","",""
Santo Domingo,Dominican Republic,Americas,"","","15,9","12,5","","","","26,3","31,3","26,1","","16,7","","",""
Cuenca,Ecuador,Americas,"","","","","","","","","","","","10,5","","",""
Guayaquil,Ecuador,Americas,"","","","","","","28,5","24,5","20,4","13,8","13,9","10,4","","",""
Quito,Ecuador,Americas,"","","11,4","13,8","","11,9","11,1","14,4","11,4","","","6,8","","",""
Cairo,Egypt,Africa,"","","","0,7","0,9","1,3","1,3","0,8","2,4","3,2","","","","",""
San Salvador,El Salvador,Americas,"","","88,2","89,4","101,2","133,7","96,4",79,"89,9","52,5","74,4","119,9",193,"",""
Santa Ana,El Salvador,Americas,"","","","","","","","","","","31,6","36,1","64,4","",""
Soyapango,El Salvador,Americas,"","","","","","","","","","","27,5","40,3","81,6","",""
Tallinn,Estonia,Europe,"","","10,1","5,3","8,8","","7,3","5,5","","4,9","4,8","3,7","2,6","",""
Espoo,Finland,Europe,"","","","","","","3,3","0,8","0,8","0,8","1,9","0,4","0,7",0,""
Helsinki,Finland,Europe,"","3,7","2,2","2,4","1,7","2,7","1,2",2,"2,4",2,1,"1,6","1,9","1,4",""
Tampere,Finland,Europe,"","","","","","","0,5","1,9","4,2","1,4",0,"0,9","1,3","2,2",""
Lyon,France,Europe,"","","","","","","","","","","","","1,6",1,""
Marseille,France,Europe,"","","","","","","","","","","","","4,5","3,5",""
Paris,France,Europe,"2,6",1,"1,6","1,3","1,7","2,1","1,6",2,"1,9","2,1","1,8","1,9","8,5","1,9",""
Tbilisi,Georgia,Asia,"","7,2","13,1","7,8","8,2","4,9",5,"3,4","","","","","","1,6",""
Berlin,Germany,Europe,"","","1,8","1,5","1,3","1,3",2,"1,2","1,3","1,6","1,6","1,5","1,2","1,4",""
Hamburg,Germany,Europe,"","","","","","","","","","0,7","0,8","1,3",1,"0,7",""
Munich,Germany,Europe,"","","","","","","","","","0,6","0,5","0,4","0,8",1,""
Accra,Ghana,Africa,"","","","","","1,3","1,3","","","","","","","",""
Athens,Greece,Europe,"0,7","1,1","1,3","1,1","1,7","1,8","1,8","2,1","2,2","1,7","1,4",1,"0,7","",""
St. Andrew's,Grenada,Americas,"","","","","","","","","","","","14,9","7,4","3,7",""
St. George's,Grenada,Americas,"","","13,3","18,6","13,3","15,9","5,3","10,5","5,2","18,2","7,8","5,2","2,6","15,4",""
St. Patrick's,Grenada,Americas,"","","","","","","","","","","","","",0,""
Escuintla,Guatemala,Americas,"","","","","","","60,8","50,1","55,6","46,7","47,8",46,"","",""
Guatemala City,Guatemala,Americas,"","121,4","127,9","132,2",138,"127,7","129,2","126,8","104,5","80,3","68,6","74,3","57,2","64,8",""
Peten,Guatemala,Americas,"","","","","","","69,3","54,8","40,7","34,1",34,"37,4","","",""
Georgetown,Guyana,Americas,"","","","","","","","","","","","","20,4","",""
Port au Prince,Haiti,Americas,"","","","","23,8","13,1","24,1","40,1","","","","","","",""
Vatican City State,Holy See,Europe,"","","","","","",0,0,0,0,0,"",0,"",""
La Ceiba,Honduras,Americas,"","","","","","","","","","","142,7",115,"113,4","130,7",""
San Pedro Sula,Honduras,Americas,"","","","","","","","","","","186,6",169,117,"113,2",""
Tegucigalpa,Honduras,Americas,"","","","","","68,4","80,1",102,"119,6","121,2",79,"91,6","80,5","90,5",""
Budapest,Hungary,Europe,"2,3","1,9","1,8","1,8",1,"1,9","1,5","1,9","1,9","1,4","1,7","1,9","2,1","2,2",""
Debrecen,Hungary,Europe,"","","","","","","0,5",1,"1,4","1,5",1,2,1,3,""
Szeged,Hungary,Europe,"","","","","","","1,2",0,0,0,"0,6","0,6","1,2","1,2",""
Hafnarfjordur,Iceland,Europe,"","","","","","","",0,0,"3,8",0,0,0,0,""
Kopavogur,Iceland,Europe,"","","","","","","",0,0,0,0,0,0,0,""
Reykjavik,Iceland,Europe,"","","1,3",0,"1,3",0,"0,6","0,8","2,5",0,0,"","0,9",0,""
Mumbai,India,Asia,"","1,5","1,3","1,4","1,3","1,2","1,2","1,3","1,1","1,2","0,9","","","",""
Jakarta,Indonesia,Asia,"","","","","","0,3","0,3","0,4","0,3","0,3","0,3","0,3","","",""
Al-Basrah,Iraq (Central Iraq),Asia,"","","","","","","32,1","22,4",21,"16,8","37,3","22,1","","",""
Al-Mawsil,Iraq (Central Iraq),Asia,"","","","","","","26,7","19,6","19,1",15,"17,6","18,9","","",""
Baghdad,Iraq (Central Iraq),Asia,"","","","","","19,4","10,7","12,5","12,5","11,2","17,7","18,4","","",""
Dublin,Ireland,Europe,"","","2,6","2,7","2,5",2,"2,1",2,"","","","","","",""
Tel Aviv,Israel,Asia,"",5,"6,1","3,8","4,3","4,6","","","","","","","","",""
Rome,Italy,Europe,"","","1,3",1,"1,1",1,"1,1","0,3",1,"0,9",1,"1,2","0,7","",""
Kingston,Jamaica,Americas,"","","","99,1","126,8","111,2","109,1","75,8","56,1","60,8",63,"48,9","48,5","54,3",""
Portmore,Jamaica,Americas,"","","","","","","","","","","","","","47,5",""
Tokyo,Japan,Asia,"","","0,4","0,4","0,4","0,6","0,4","0,3","0,2","0,3","","","","",""
Amman,Jordan,Asia,"","","2,2","3,6","3,2","3,3","3,1","2,2","4,1","4,7","","","","",""
Almaty,Kazakhstan,Asia,"","","12,7",12,"9,4","12,2","9,5","8,7","9,9","7,7",7,"5,8","5,7","",""
Kisumu,Kenya,Africa,"","","","","","","","","","","",4,"1,3","2,6",""
Mombasa,Kenya,Africa,"","","","","","","","","","","","4,4","0,9","3,8",""
Nairobi,Kenya,Africa,"","8,6","8,2","7,2","4,8","4,5",5,"5,1","6,8","7,2","2,6","5,4","3,8","3,7",""
Prishtina,Kosovo under UNSCR 1244,Europe,"","","","","","4,9","5,6","4,2","4,1","0,7",2,"4,1","1,4","",""
Kuwait City,Kuwait,Asia,"","",1,"1,1","1,3","1,2","1,2","","","","","","","",""
Bishkek,Kyrgyzstan,Asia,"9,5","9,9","15,3","12,1","10,7","10,1","8,9","9,7","8,8","7,5","4,6","5,6","6,1","",""
Daugavpils,Latvia,Europe,"","","","","","","","","","","","5,8",0,"",""
Liepaja,Latvia,Europe,"","","","","","","","","","","","5,6","2,8","",""
Riga,Latvia,Europe,"11,1",10,"4,9","6,5","4,2","4,4","5,4","3,4","2,7",4,4,"4,7","4,8","",""
MASERU,Lesotho,Africa,"","","","","64,1","59,7","61,9","","","","","","","",""
Monrovia,Liberia,Africa,"","","","","4,8",7,"5,9","4,9","","","","","","",""
Schaan,Liechtenstein,Europe,"","",0,0,0,0,0,0,0,0,0,"16,9",0,"",""
Kaunas,Lithuania,Europe,"","","","","","","","","","","7,2",4,"9,7","5,4",""
Klaipeda,Lithuania,Europe,"","","","","","","","","","","6,3",7,"9,7","3,9",""
Vilnius,Lithuania,Europe,"6,7","6,9",7,"5,3","6,9","9,8","5,2","4,5","3,9","3,4","4,8","8,3","6,4","3,9",""
Luxembourg,Luxembourg,Europe,"","","1,1","4,2","3,2","3,2","5,3",0,3,0,0,"0,9","","",""
ANTARIVO,Madagascar,Africa,"","","","","","","","","5,9","7,8","4,9","7,6","7,7","",""
Mahajanaga,Madagascar,Africa,"","","","","","","","","","5,6","7,3","7,1","13,7","",""
Toamasina,Madagascar,Africa,"","","","","","","","","","7,1","12,7","7,8","8,3","",""
Kuala Lumpur,Malaysia,Asia,"","",3,"4,4","","","","","","","","","","",""
Male,Maldives,Asia,"","","","","","3,6","4,4","3,4","1,7","4,9","0,8","","","",""
Valletta,Malta,Europe,"","",0,0,0,0,0,"15,9",0,0,0,0,0,"",""
Port Louis,Mauritius,Africa,"","","5,4","3,4","5,4","9,4","7,4","8,1","5,4","","","","","",""
Mexico City,Mexico,Americas,"","12,5","11,4","10,5","10,7","11,5",12,"12,9",13,"12,7","12,7","12,3","12,2","",""
Conadmine,Monaco,Europe,"","","","","","","","","","","","",0,"",""
Fontvielle,Monaco,Europe,"","","","","","","","","","","","",0,"",""
Monte-Carlo,Monaco,Europe,"","","6,6","6,4",0,0,"","","","",0,"",0,"",""
Central,Mongolia,Asia,"","","","","","","3,3","5,8","2,9","3,9",5,"8,8","5,5","6,6",""
Orkhon,Mongolia,Asia,"","","","","","","2,5","3,1","3,4","1,3","4,6","7,8","8,7","6,4",""
Ulaanbaatar,Mongolia,Asia,"14,4","13,2","13,7","13,1","11,7","9,4","8,4","7,3","10,6","7,5","6,2","8,1","7,1","6,3",""
Bijelo Polje,Montenegro,Europe,"","","","","","","","","","","","6,9","9,2","",""
Niksic,Montenegro,Europe,"","","","","","","","","","","","4,2","2,8","2,8",""
Podgorica,Montenegro,Europe,"4,7","3,7","6,3","5,7","3,6","3,6","4,1","3,6","4,1","3,6","0,5","2,6",1,2,""
Casablanca,Morocco,Africa,1,1,"1,2","0,8","1,1","0,9","1,4","","","1,6","2,1","",2,"",""
Fes,Morocco,Africa,"","","","","","","","","","","","","3,9","",""
Tanger,Morocco,Africa,"","","","","","","","","","","","","4,9","",""
Maputo,Mozambique,Africa,"","","9,7","6,9","8,4","4,8","3,5","","","","","","","",""
Yangon,Myanmar,Asia,"","","","","","","2,5",3,"3,4",4,"3,4","3,9","3,8","",""
Kathmandu,Nepal,Asia,"","","19,2","18,5","","","","","","","","","","",""
Amsterdam,Netherlands,Europe,"","","4,2","2,2","3,5","1,4","3,2","1,3","1,5","2,2",2,"2,1","1,7","2,2",""
Rotterdam,Netherlands,Europe,"","","","","","","2,6","1,5","2,3","1,9","1,8",1,"1,4","1,3",""
The Hague,Netherlands,Europe,"","","","","","","2,1","1,6","0,6","2,4","0,6",1,1,"1,2",""
Auckland,New Zealand,Oceania,"","","1,4","1,7","0,8","1,4",1,"1,1","0,9","0,7","0,7","","","",""
Managua,Nicaragua,Americas,"","","11,7","14,1","","","","18,7","","","","","","",""
Bergen,Norway,Europe,"","","","","","","","","","","1,1","1,1","0,4",0,""
Oslo,Norway,Europe,2,"2,1","1,4","1,6","1,4","2,1","1,2","0,9","3,2","1,3","1,3","1,1","1,9","0,6",""
Trondheim,Norway,Europe,"","","","","","","","","","",0,"0,5",0,0,""
Muscat,Oman,Asia,"","","","","0,6","0,6","","","","","","","","",""
Chiriqui,Panama,Americas,"","","","","","","","","","","","","","6,6",""
Ciudad de Panama (Capital),Panama,Americas,"","","20,2",19,"23,1","34,5","44,5","39,4","37,3",34,"29,6",26,"16,6","14,1",""
Panama oeste,Panama,Americas,"","","","","","","","","","","","","","6,7",""
Asuncion,Paraguay,Americas,"","","14,6","19,6","14,4","8,6","10,7","7,2","8,9","6,2","7,4","6,3","5,7","",""
Departamento Central,Paraguay,Americas,"","","","","","","","","","","","","3,3","",""
Departamento de Alto Parana,Paraguay,Americas,"","","","","","","","","","","","","11,6","",""
La Libertad,Peru,Americas,"","","","","","","","","","","","19,3","16,6","12,4",""
Lima,Peru,Americas,"3,9","3,1","5,7","5,5",8,"6,2","6,5","5,1","5,3","6,6","5,7","5,7",6,"7,7",""
Piura,Peru,Americas,"","","","","","","","","","","","5,6","6,2","5,2",""
Quezon city,Philippines,Asia,"","","10,3","8,1","6,5","5,1","5,3","","","","5,7","","","",""
Krakow,Poland,Europe,"","","","","","","","","","","","","","0,3",""
Lodz,Poland,Europe,"","","","","","","","","","","","","",1,""
Warsaw,Poland,Europe,"","","2,1",2,"2,1","1,4","1,9","1,2","1,6","1,4",1,"1,1","0,5","0,5",""
Lisbon,Portugal,Europe,"0,5","0,5","0,7","0,7","0,6","0,4","0,2","0,3","0,2","0,6","0,5","0,3","0,5","",""
Doha,Qatar,Asia,"","","","","0,6","0,5","","","","","","","","",""
Busan,Republic of Korea,Asia,"","","","","","","","","0,8","0,7","0,7","0,6","0,5","",""
Inchon,Republic of Korea,Asia,"","","","","","","","","0,8","0,7","3,8","4,7","4,4","",""
Seoul,Republic of Korea,Asia,"","","","","","","","","0,8","0,7","0,5","0,6","0,7","",""
BALTI,Republic of Moldova,Europe,"","","","","","","","","","","","2,7","","",""
Cahul,Republic of Moldova,Europe,"","","","","","","","","","","","9,8","","",""
Chishinau,Republic of Moldova,Europe,"","8,8","6,9","6,8","6,2",4,"4,8","3,9","3,8","4,7","3,1","2,2","","",""
BUCHAREST,Romania,Europe,"","","1,2","1,1",1,"0,8","0,9",1,"0,8",1,"0,6",1,"0,8","",""
Krasnodar,Russian Federation,Europe,"","","","","","","10,4","11,5","9,3","10,3","","5,3","7,5","",""
Krasnodar Krai,Russian Federation,Europe,"","","","","","","","","","","4,6","","","",""
Moscow,Russian Federation,Europe,"","","","","","","","","","","","","","7,6",""
Moscow,Russian Federation,Europe,"","11,7","9,8","9,9","8,1","6,7","6,2","6,2","5,8","4,7","4,5","4,7","3,8","5,2",""
Saint Petersburg,Russian Federation,Europe,"","","","","","",5,"4,2","3,7",4,"4,2","3,3","4,7","4,9",""
Basseterre,Saint Kitts and Nevis,Americas,"","","32,5","25,6","50,6",50,"73,2","35,5","99,5","","","","","",""
CASTRIES,Saint Lucia,Americas,"","","","","99,2","99,2","36,1","45,1","45,1","45,1","","","","",""
Sao Tome,Sao Tome and Principe,Africa,"","","","3,6","3,6","3,6","5,3","","","","","","","",""
Makkah al-Mukarramah,Saudi Arabia,Asia,"","","","","","","","","","","","","3,6","",""
Belgrade,Serbia,Europe,"","","2,8","2,9","2,9","2,3","1,5","1,3","2,2","1,3","2,1","1,6","1,9",1,""
Nis,Serbia,Europe,"","","","","","","6,1","4,2","4,2","4,2","3,1","2,7","2,7","2,7",""
Novi Sad,Serbia,Europe,"","","","","","","1,7",2,"1,7","2,3","2,9","3,2","2,8","3,4",""
Freetown,Sierra Leone,Africa,"","","","","5,5","7,6","","","","","","","","",""
Singapore,Singapore,Asia,"","","0,5","0,4","0,4","0,6","0,4","0,4","0,3","0,2","","","","",""
Bratislava,Slovakia,Europe,4,"4,2","2,6","3,5","3,8","2,3","2,1","1,9","3,2","2,9","2,1","2,6","3,5","",""
Kosice,Slovakia,Europe,"","","","","","","","","","","","2,5","1,7","",""
Presov,Slovakia,Europe,"","","","","","","","","","","","14,2",0,"",""
Celje,Slovenia,Europe,"","","","","","","","","","","",0,"2,7","2,6",""
Ljubljana,Slovenia,Europe,"","2,8","0,4","0,4","1,2",0,"0,4","2,6","1,5","0,7",0,"1,1","3,2","0,4",""
Maribor,Slovenia,Europe,"","","","","","","","","","","",1,0,"2,1",""
Honiara,Solomon Islands,Oceania,"","3,5","5,2","20,8",33,"19,1","","","","","","","","",""
Cape Town,South Africa,Africa,"","","55,4",61,"59,9","","","","","","","","","",""
Barcelona,Spain,Europe,"","","","","","","","","","","","0,9","0,7","0,7",""
Madrid,Spain,Europe,"","","1,2","1,2","1,1","1,2",1,"0,9","0,7","0,9","0,7","0,6","0,4","0,6",""
Valencia,Spain,Europe,"","","","","","","","","","","","0,5","0,8","0,8",""
Colombo,Sri Lanka,Asia,"","","","","","10,8","6,1","4,8","5,2","4,8","2,5","2,8","2,9","2,5",""
Dehiwala-Mt.Lavinia,Sri Lanka,Asia,"","","","","","","","","","","2,3","3,3",2,"1,2",""
Moratuwa,Sri Lanka,Asia,"","","","","","","","","","","0,5",1,"1,4","0,5",""
Hebron,State of Palestine,Asia,"","","3,2","","","","",2,"0,3","1,1","","","","",""
Khartoum,Sudan,Africa,"","","","","",5,"","","","","","","","",""
Basel,Switzerland,Europe,"","","","","","","3,6","0,6","0,6","1,8","0,6","1,8","0,6",0,""
Geneva,Switzerland,Europe,"","","","","","","3,3","1,1","2,7",0,"1,6","1,5","0,5",1,""
Zurich,Switzerland,Europe,"","","","","","","1,1",3,"0,3","0,5",0,"0,5","0,5",1,""
Aleppo,Syrian Arab Republic,Asia,"","","","","3,6","2,9","","","","","","","","",""
Dushanbe,Tajikistan,Asia,"","8,8",6,"4,5",4,"2,9","2,9","3,7","3,6","","","","","",""
Bangkok,Thailand,Asia,"","","5,6","5,9","5,1","4,5","3,9","3,8","2,9","3,5","3,3","3,9","2,7","",""
Skopje,The former Yugoslav Republic of Macedonia,Europe,"","","","2,9","3,2",2,"1,9","2,2","1,7","1,2","1,3","1,5","","",""
Dili,Timor-Leste,Asia,"","","","","","","","11,3","","","","","","",""
Nuku'alofa,Tonga,Oceania,"","",17,"33,8","4,2","12,5","16,5","4,1","8,1",4,"","","","",""
Port of Spain,Trinidad and Tobago,Americas,"","14,3","21,4","18,1","15,7",30,"23,2",17,"17,2","18,6","21,7","14,4","15,4","",""
San Fernando,Trinidad and Tobago,Americas,"","","","","","","16,5","26,8","14,3","16,3","20,3","20,2","22,1","",""
Istanbul,Turkey,Asia,"6,8","6,8","7,3","6,6","4,3","3,7","4,3",3,"2,9","2,8","","","","",""
Ashkhabad,Turkmenistan,Asia,"","","3,6","3,5","","","","","","","","","","",""
Kampala,Uganda,Africa,"","","","","","13,4","15,3",12,"13,2","9,2","7,2","7,9","","",""
Kiev,Ukraine,Europe,"",5,"4,8","4,8","3,6","3,7","4,2","3,2","","","","","","",""
Dubai,United Arab Emirates,Asia,"","","1,9","1,5","","","","1,1","0,7","0,9","0,9","0,8","0,9","",""
London,United Kingdom (England and Wales),Europe,"","2,5","2,3",2,2,"1,9","1,5","1,6","1,2","1,3","1,3","1,2","1,2","",""
BELFAST,United Kingdom (Northern Ireland),Europe,"2,6","1,9","4,2","3,5","1,9","1,2","2,2","2,8","0,9","1,8","1,8","2,1","2,7","2,4",""
Dundee,United Kingdom (Scotland),Europe,"","","","","","","","","","","0,4","0,4","1,3","1,7",""
Edinburgh,United Kingdom (Scotland),Europe,"","","","","","","","","","","1,8","1,4","0,2","0,8",""
Glasgow,United Kingdom (Scotland),Europe,"","4,1","5,5","5,8","5,4","4,2","3,4","4,3","2,7",3,3,"2,3","2,5",2,""
DAR ES SALAAM,United Republic of Tanzania,Africa,"","","","","","","","11,6",11,"7,8",6,"5,5","3,5","",""
MBEYA,United Republic of Tanzania,Africa,"","","","","","","","","13,3",11,11,"9,2","10,3","",""
Mwanza,United Republic of Tanzania,Africa,"","","","","","","","11,9","11,9","10,7","11,6","9,7","11,1","",""
Chicago,United States of America,Americas,"","","","","","","","15,2","15,9","18,5","15,2","15,1","17,5","",""
Los Angeles,United States of America,Americas,"","","","","","","","7,6","7,7","7,8","6,5","6,7","7,1","",""
New York City,United States of America,Americas,"7,7","7,3","6,8","7,5","6,2","6,4","5,6","6,4","6,3","5,1",4,"3,9","4,1","",""
CIUDAD DE LA COSTA,Uruguay,Americas,"","","","","","","","","","","","","3,2","6,3",""
CIUDAD DE SALTO,Uruguay,Americas,"","","","","","","","","","","","","7,7","6,7",""
Montevideo,Uruguay,Americas,"","","","6,7","6,1","7,9","8,1","7,9","8,2","11,4","11,9","11,1","12,3","10,6",""
Caracas,Venezuela (Bolivarian Republic of),Americas,"","",88,107,"130,5",127,122,"","","","","","","",""
Sana'a,Yemen,Asia,"","","5,5","5,5","4,7","3,9","3,8","","","","","","","",""
Lusaka,Zambia,Africa,"","","8,9",9,"10,8","2,9","8,6",7,"","","","","","",""
