DeSO.1,Kon,UtlBakgrund,values,Year
0561B2010,Män,Svensk,563,2019
0561B2010,Män,Utländsk,25,2019
0561B2010,Totalt,Svensk,1099,2019
0561B2010,Totalt,Utländsk,60,2019
0561C1010,Kvinnor,Svensk,602,2019
0561C1010,Kvinnor,Utländsk,75,2019
0561C1010,Män,Svensk,593,2019
0561C1010,Män,Utländsk,92,2019
0561C1010,Totalt,Svensk,1195,2019
0561C1010,Totalt,Utländsk,167,2019
0561C1020,Kvinnor,Svensk,606,2019
0561C1020,Kvinnor,Utländsk,64,2019
0561C1020,Män,Svensk,573,2019
0561C1020,Män,Utländsk,73,2019
0561C1020,Totalt,Svensk,1179,2019
0561C1020,Totalt,Utländsk,137,2019
0561C1030,Kvinnor,Svensk,787,2019
0561C1030,Kvinnor,Utländsk,64,2019
0561C1030,Män,Svensk,841,2019
0561C1030,Män,Utländsk,47,2019
0561C1030,Totalt,Svensk,1628,2019
0561C1030,Totalt,Utländsk,111,2019
0561C1040,Kvinnor,Svensk,585,2019
0561C1040,Kvinnor,Utländsk,124,2019
0561C1040,Män,Svensk,652,2019
0561C1040,Män,Utländsk,135,2019
0561C1040,Totalt,Svensk,1237,2019
0561C1040,Totalt,Utländsk,259,2019
0561C1050,Kvinnor,Svensk,640,2019
0561C1050,Kvinnor,Utländsk,98,2019
0561C1050,Män,Svensk,650,2019
0561C1050,Män,Utländsk,81,2019
0561C1050,Totalt,Svensk,1290,2019
0561C1050,Totalt,Utländsk,179,2019
0562A0010,Kvinnor,Svensk,427,2019
0562A0010,Kvinnor,Utländsk,47,2019
0562A0010,Män,Svensk,460,2019
0562A0010,Män,Utländsk,52,2019
0562A0010,Totalt,Svensk,887,2019
0562A0010,Totalt,Utländsk,99,2019
0562A0020,Kvinnor,Svensk,613,2019
0562A0020,Kvinnor,Utländsk,47,2019
0562A0020,Män,Svensk,672,2019
0562A0020,Män,Utländsk,47,2019
0562A0020,Totalt,Svensk,1285,2019
0562A0020,Totalt,Utländsk,94,2019
0562A0030,Kvinnor,Svensk,685,2019
0562A0030,Kvinnor,Utländsk,72,2019
0562A0030,Män,Svensk,760,2019
0562A0030,Män,Utländsk,62,2019
0562A0030,Totalt,Svensk,1445,2019
0562A0030,Totalt,Utländsk,134,2019
0562A0040,Kvinnor,Svensk,474,2019
0562A0040,Kvinnor,Utländsk,27,2019
0562A0040,Män,Svensk,501,2019
0562A0040,Män,Utländsk,32,2019
0562A0040,Totalt,Svensk,975,2019
0562A0040,Totalt,Utländsk,59,2019
0562A0050,Kvinnor,Svensk,673,2019
0562A0050,Kvinnor,Utländsk,78,2019
0562A0050,Män,Svensk,718,2019
0562A0050,Män,Utländsk,64,2019
0562A0050,Totalt,Svensk,1391,2019
0562A0050,Totalt,Utländsk,142,2019
0562A0060,Kvinnor,Svensk,474,2019
0562A0060,Kvinnor,Utländsk,54,2019
0562A0060,Män,Svensk,530,2019
0562A0060,Män,Utländsk,45,2019
0562A0060,Totalt,Svensk,1004,2019
0562A0060,Totalt,Utländsk,99,2019
0562C1010,Kvinnor,Svensk,731,2019
0562C1010,Kvinnor,Utländsk,92,2019
0562C1010,Män,Svensk,746,2019
0562C1010,Män,Utländsk,91,2019
0562C1010,Totalt,Svensk,1477,2019
0562C1010,Totalt,Utländsk,183,2019
0562C1020,Kvinnor,Svensk,485,2019
0562C1020,Kvinnor,Utländsk,240,2019
0562C1020,Män,Svensk,506,2019
0562C1020,Män,Utländsk,272,2019
0562C1020,Totalt,Svensk,991,2019
0562C1020,Totalt,Utländsk,512,2019
0562C1030,Kvinnor,Svensk,629,2019
0562C1030,Kvinnor,Utländsk,352,2019
0562C1030,Män,Svensk,641,2019
0562C1030,Män,Utländsk,426,2019
0562C1030,Totalt,Svensk,1270,2019
0562C1030,Totalt,Utländsk,778,2019
0562C1040,Kvinnor,Svensk,543,2019
0562C1040,Kvinnor,Utländsk,242,2019
0562C1040,Män,Svensk,558,2019
0562C1040,Män,Utländsk,255,2019
0562C1040,Totalt,Svensk,1101,2019
0562C1040,Totalt,Utländsk,497,2019
0562C1050,Kvinnor,Svensk,581,2019
0562C1050,Kvinnor,Utländsk,161,2019
0562C1050,Män,Svensk,558,2019
0562C1050,Män,Utländsk,139,2019
0562C1050,Totalt,Svensk,1139,2019
0562C1050,Totalt,Utländsk,300,2019
0562C1060,Kvinnor,Svensk,674,2019
0562C1060,Kvinnor,Utländsk,225,2019
0562C1060,Män,Svensk,710,2019
0562C1060,Män,Utländsk,254,2019
0562C1060,Totalt,Svensk,1384,2019
0562C1060,Totalt,Utländsk,479,2019
0562C1070,Kvinnor,Svensk,737,2019
0562C1070,Kvinnor,Utländsk,205,2019
0562C1070,Män,Svensk,777,2019
0562C1070,Män,Utländsk,185,2019
