DeSO.1,Kon,UtlBakgrund,values,Year
0114C1210,Kvinnor,Utländsk,804,2019
0114C1210,Män,Svensk,489,2019
0114C1210,Män,Utländsk,846,2019
0114C1210,Totalt,Svensk,950,2019
0114C1210,Totalt,Utländsk,1650,2019
0114C1220,Kvinnor,Svensk,389,2019
0114C1220,Kvinnor,Utländsk,237,2019
0114C1220,Män,Svensk,427,2019
0114C1220,Män,Utländsk,329,2019
0114C1220,Totalt,Svensk,816,2019
0114C1220,Totalt,Utländsk,566,2019
0115A0010,Kvinnor,Svensk,795,2019
0115A0010,Kvinnor,Utländsk,166,2019
0115A0010,Män,Svensk,881,2019
0115A0010,Män,Utländsk,202,2019
0115A0010,Totalt,Svensk,1676,2019
0115A0010,Totalt,Utländsk,368,2019
0115A0020,Kvinnor,Svensk,462,2019
0115A0020,Kvinnor,Utländsk,113,2019
0115A0020,Män,Svensk,497,2019
0115A0020,Män,Utländsk,143,2019
0115A0020,Totalt,Svensk,959,2019
0115A0020,Totalt,Utländsk,256,2019
0115A0030,Kvinnor,Svensk,538,2019
0115A0030,Kvinnor,Utländsk,56,2019
0115A0030,Män,Svensk,551,2019
0115A0030,Män,Utländsk,99,2019
0115A0030,Totalt,Svensk,1089,2019
0115A0030,Totalt,Utländsk,155,2019
0115A0040,Kvinnor,Svensk,553,2019
0115A0040,Kvinnor,Utländsk,130,2019
0115A0040,Män,Svensk,614,2019
0115A0040,Män,Utländsk,145,2019
0115A0040,Totalt,Svensk,1167,2019
0115A0040,Totalt,Utländsk,275,2019
0115B2010,Kvinnor,Svensk,582,2019
0115B2010,Kvinnor,Utländsk,97,2019
0115B2010,Män,Svensk,579,2019
0115B2010,Män,Utländsk,86,2019
0115B2010,Totalt,Svensk,1161,2019
0115B2010,Totalt,Utländsk,183,2019
0115B3010,Kvinnor,Svensk,494,2019
0115B3010,Kvinnor,Utländsk,127,2019
0115B3010,Män,Svensk,494,2019
0115B3010,Män,Utländsk,132,2019
0115B3010,Totalt,Svensk,988,2019
0115B3010,Totalt,Utländsk,259,2019
0115C1010,Kvinnor,Svensk,1066,2019
0115C1010,Kvinnor,Utländsk,210,2019
0115C1010,Män,Svensk,1084,2019
0115C1010,Män,Utländsk,222,2019
0115C1010,Totalt,Svensk,2150,2019
0115C1010,Totalt,Utländsk,432,2019
0115C1020,Kvinnor,Svensk,1014,2019
0115C1020,Kvinnor,Utländsk,188,2019
0115C1020,Män,Svensk,1005,2019
0115C1020,Män,Utländsk,156,2019
0115C1020,Totalt,Svensk,2019,2019
0115C1020,Totalt,Utländsk,344,2019
0115C1030,Kvinnor,Svensk,545,2019
0115C1030,Kvinnor,Utländsk,130,2019
0115C1030,Män,Svensk,515,2019
0115C1030,Män,Utländsk,105,2019
0115C1030,Totalt,Svensk,1060,2019
0115C1030,Totalt,Utländsk,235,2019
0115C1040,Kvinnor,Svensk,848,2019
0115C1040,Kvinnor,Utländsk,130,2019
0115C1040,Män,Svensk,894,2019
0115C1040,Män,Utländsk,129,2019
0115C1040,Totalt,Svensk,1742,2019
0115C1040,Totalt,Utländsk,259,2019
0115C1050,Kvinnor,Svensk,1083,2019
